DATE,A939RC0Q052SBEA
2017-01-01,59132.0
2017-04-01,59527.0
2017-07-01,60196.0
2017-10-01,61146.0
2018-01-01,61960.0
2018-04-01,62646.0
2018-07-01,63210.0
2018-10-01,63479.0
2019-01-01,63977.0
2019-04-01,64754.0
2019-07-01,65595.0
2019-10-01,66129.0
2020-01-01,65472.0
2020-04-01,60031.0
2020-07-01,65226.0
2020-10-01,66327.0
2021-01-01,68072.0
2021-04-01,70123.0
2021-07-01,71667.0
2021-10-01,74082.0
2022-01-01,75165.0
2022-04-01,76636.0
2022-07-01,77884.0
2022-10-01,79019.0
2023-01-01,80149.0
2023-04-01,80801.0
2023-07-01,82313.0
2023-10-01,83170.0
