DATE,TB3MS
1934-01-01,0.52666666666666666667
1934-04-01,0.15333333333333333333
1934-07-01,0.18333333333333333333
1934-10-01,0.25000000000000000000
1935-01-01,0.18000000000000000000
1935-04-01,0.15000000000000000000
1935-07-01,0.17000000000000000000
1935-10-01,0.17000000000000000000
1936-01-01,0.20000000000000000000
1936-04-01,0.20000000000000000000
1936-07-01,0.17000000000000000000
1936-10-01,0.12000000000000000000
1937-01-01,0.23333333333333333333
1937-04-01,0.44333333333333333333
1937-07-01,0.29333333333333333333
1937-10-01,0.13333333333333333333
1938-01-01,0.08666666666666666667
1938-04-01,0.06333333333333333333
1938-07-01,0.07000000000000000000
1938-10-01,0.04000000000000000000
1939-01-01,0.03000000000000000000
1939-04-01,0.03000000000000000000
1939-07-01,0.07666666666666666667
1939-10-01,0.04666666666666666667
1940-01-01,0.01666666666666666667
1940-04-01,0.06000000000000000000
1940-07-01,0.04666666666666666667
1940-10-01,0.02000000000000000000
1941-01-01,0.05666666666666666667
1941-04-01,0.11000000000000000000
1941-07-01,0.11666666666666666667
1941-10-01,0.23333333333333333333
1942-01-01,0.25666666666666666667
1942-04-01,0.35333333333333333333
1942-07-01,0.38000000000000000000
1942-10-01,0.38000000000000000000
1943-01-01,0.38000000000000000000
1943-04-01,0.38000000000000000000
1943-07-01,0.38000000000000000000
1943-10-01,0.38000000000000000000
1944-01-01,0.38000000000000000000
1944-04-01,0.38000000000000000000
1944-07-01,0.38000000000000000000
1944-10-01,0.38000000000000000000
1945-01-01,0.38000000000000000000
1945-04-01,0.38000000000000000000
1945-07-01,0.38000000000000000000
1945-10-01,0.38000000000000000000
1946-01-01,0.38000000000000000000
1946-04-01,0.38000000000000000000
1946-07-01,0.38000000000000000000
1946-10-01,0.38000000000000000000
1947-01-01,0.38000000000000000000
1947-04-01,0.38000000000000000000
1947-07-01,0.73666666666666666667
1947-10-01,0.90666666666666666667
1948-01-01,0.99000000000000000000
1948-04-01,1.00000000000000000000
1948-07-01,1.05000000000000000000
1948-10-01,1.14000000000000000000
1949-01-01,1.17000000000000000000
1949-04-01,1.17000000000000000000
1949-07-01,1.04333333333333333333
1949-10-01,1.07666666666666666667
1950-01-01,1.10333333333333333333
1950-04-01,1.15333333333333333333
1950-07-01,1.22000000000000000000
1950-10-01,1.3366666666666667
1951-01-01,1.3666666666666667
1951-04-01,1.4900000000000000
1951-07-01,1.6033333333333333
1951-10-01,1.6100000000000000
1952-01-01,1.5666666666666667
1952-04-01,1.6466666666666667
1952-07-01,1.7833333333333333
1952-10-01,1.8933333333333333
1953-01-01,1.9800000000000000
1953-04-01,2.1533333333333333
1953-07-01,1.9566666666666667
1953-10-01,1.4733333333333333
1954-01-01,1.06000000000000000000
1954-04-01,0.79000000000000000000
1954-07-01,0.88333333333333333333
1954-10-01,1.02000000000000000000
1955-01-01,1.22333333333333333333
1955-04-01,1.4833333333333333
1955-07-01,1.8566666666666667
1955-10-01,2.3366666666666667
1956-01-01,2.3266666666666667
1956-04-01,2.5666666666666667
1956-07-01,2.5833333333333333
1956-10-01,3.0333333333333333
1957-01-01,3.0966666666666667
1957-04-01,3.1400000000000000
1957-07-01,3.3533333333333333
1957-10-01,3.3100000000000000
1958-01-01,1.7566666666666667
1958-04-01,0.95666666666666666667
1958-07-01,1.6800000000000000
1958-10-01,2.6900000000000000
1959-01-01,2.7733333333333333
1959-04-01,3.0000000000000000
1959-07-01,3.5400000000000000
1959-10-01,4.2300000000000000
1960-01-01,3.8733333333333333
1960-04-01,2.9933333333333333
1960-07-01,2.3600000000000000
1960-10-01,2.3066666666666667
1961-01-01,2.3500000000000000
1961-04-01,2.3033333333333333
1961-07-01,2.3033333333333333
1961-10-01,2.4600000000000000
1962-01-01,2.7233333333333333
1962-04-01,2.7166666666666667
1962-07-01,2.8400000000000000
1962-10-01,2.8133333333333333
1963-01-01,2.9066666666666667
1963-04-01,2.9400000000000000
1963-07-01,3.2933333333333333
1963-10-01,3.4966666666666667
1964-01-01,3.5300000000000000
1964-04-01,3.4766666666666667
1964-07-01,3.4966666666666667
1964-10-01,3.6833333333333333
1965-01-01,3.8900000000000000
1965-04-01,3.8733333333333333
1965-07-01,3.8666666666666667
1965-10-01,4.1666666666666667
1966-01-01,4.6100000000000000
1966-04-01,4.5866666666666667
1966-07-01,5.0433333333333333
1966-10-01,5.2100000000000000
1967-01-01,4.5133333333333333
1967-04-01,3.6600000000000000
1967-07-01,4.3000000000000000
1967-10-01,4.7533333333333333
1968-01-01,5.0500000000000000
1968-04-01,5.5200000000000000
1968-07-01,5.1966666666666667
1968-10-01,5.5866666666666667
1969-01-01,6.0933333333333333
1969-04-01,6.1966666666666667
1969-07-01,7.0233333333333333
1969-10-01,7.3533333333333333
1970-01-01,7.2100000000000000
1970-04-01,6.6766666666666667
1970-07-01,6.3266666666666667
1970-10-01,5.3533333333333333
1971-01-01,3.8400000000000000
1971-04-01,4.2500000000000000
1971-07-01,5.0100000000000000
1971-10-01,4.2300000000000000
1972-01-01,3.4366666666666667
1972-04-01,3.7700000000000000
1972-07-01,4.2200000000000000
1972-10-01,4.8633333333333333
1973-01-01,5.7000000000000000
1973-04-01,6.6033333333333333
1973-07-01,8.3233333333333333
1973-10-01,7.5000000000000000
1974-01-01,7.6166666666666667
1974-04-01,8.1533333333333333
1974-07-01,8.1900000000000000
1974-10-01,7.3600000000000000
1975-01-01,5.7500000000000000
1975-04-01,5.3933333333333333
1975-07-01,6.3300000000000000
1975-10-01,5.6266666666666667
1976-01-01,4.9166666666666667
