DATE,PSAVERT
1959-01-01,10.3333333333333333
1960-01-01,10.0666666666666667
1961-01-01,11.2833333333333333
1962-01-01,11.2000000000000000
1963-01-01,10.7333333333333333
1964-01-01,11.5916666666666667
1965-01-01,11.4416666666666667
1966-01-01,11.1583333333333333
1967-01-01,12.3250000000000000
1968-01-01,11.3333333333333333
1969-01-01,10.9000000000000000
1970-01-01,12.8000000000000000
1971-01-01,13.4750000000000000
1972-01-01,12.3500000000000000
1973-01-01,13.4500000000000000
1974-01-01,13.3000000000000000
1975-01-01,13.4083333333333333
1976-01-01,11.6250000000000000
1977-01-01,10.6583333333333333
1978-01-01,10.7250000000000000
1979-01-01,10.3000000000000000
1980-01-01,11.1083333333333333
1981-01-01,11.6583333333333333
1982-01-01,11.9666666666666667
1983-01-01,10.0833333333333333
1984-01-01,11.2083333333333333
1985-01-01,9.1083333333333333
1986-01-01,8.7750000000000000
1987-01-01,7.5416666666666667
1988-01-01,8.4000000000000000
1989-01-01,8.2750000000000000
1990-01-01,8.3583333333333333
1991-01-01,8.9166666666666667
1992-01-01,9.3833333333333333
1993-01-01,7.8333333333333333
1994-01-01,6.8000000000000000
1995-01-01,6.8500000000000000
1996-01-01,6.3416666666666667
1997-01-01,6.0416666666666667
1998-01-01,6.4750000000000000
1999-01-01,4.6083333333333333
2000-01-01,4.2916666666666667
2001-01-01,4.6750000000000000
2002-01-01,5.5750000000000000
2003-01-01,5.1916666666666667
2004-01-01,4.6500000000000000
2005-01-01,2.2500000000000000
2006-01-01,2.7750000000000000
2007-01-01,2.5250000000000000
2008-01-01,4.1333333333333333
2009-01-01,5.7333333333333333
2010-01-01,5.9250000000000000
2011-01-01,6.5500000000000000
2012-01-01,7.8583333333333333
2013-01-01,4.9666666666666667
2014-01-01,5.4666666666666667
2015-01-01,5.8500000000000000
2016-01-01,5.3583333333333333
2017-01-01,5.7583333333333333
2018-01-01,6.4333333333333333
2019-01-01,7.3750000000000000
2020-01-01,15.2083333333333333
2021-01-01,11.1083333333333333
2022-01-01,3.3250000000000000
2023-01-01,4.5250000000000000
2024-01-01,.
