DATE,CPIAUCSL_PC1
1948-01-01,7.67221
1949-01-01,-0.98080
1950-01-01,1.06402
1951-01-01,7.94113
1952-01-01,2.28439
1953-01-01,0.75910
1954-01-01,0.36112
1955-01-01,-0.25746
1956-01-01,1.47411
1957-01-01,3.39269
1958-01-01,2.73002
1959-01-01,0.93199
1960-01-01,1.49228
1961-01-01,1.07036
1962-01-01,1.17608
1963-01-01,1.25606
1964-01-01,1.32209
1965-01-01,1.57869
1966-01-01,2.98937
1967-01-01,2.78455
1968-01-01,4.24469
1969-01-01,5.43713
1970-01-01,5.88369
1971-01-01,4.22656
1972-01-01,3.27295
1973-01-01,6.25872
1974-01-01,11.01107
1975-01-01,9.14160
1976-01-01,5.77489
1977-01-01,6.46956
1978-01-01,7.62991
1979-01-01,11.25303
1980-01-01,13.50172
1981-01-01,10.37831
1982-01-01,6.15836
1983-01-01,3.15953
1984-01-01,4.36820
1985-01-01,3.52790
1986-01-01,1.94393
1987-01-01,3.57821
1988-01-01,4.10004
1989-01-01,4.79109
1990-01-01,5.41922
1991-01-01,4.21583
1992-01-01,3.04162
1993-01-01,2.96965
1994-01-01,2.59560
1995-01-01,2.80542
1996-01-01,2.93667
1997-01-01,2.33757
1998-01-01,1.54701
1999-01-01,2.19314
2000-01-01,3.36668
2001-01-01,2.81663
2002-01-01,1.59567
2003-01-01,2.29800
2004-01-01,2.66757
2005-01-01,3.36583
2006-01-01,3.22209
2007-01-01,2.87055
2008-01-01,3.81495
2009-01-01,-0.32036
2010-01-01,1.63657
2011-01-01,3.13965
2012-01-01,2.07319
2013-01-01,1.46597
2014-01-01,1.61546
2015-01-01,0.12114
2016-01-01,1.26736
2017-01-01,2.13144
2018-01-01,2.43900
2019-01-01,1.81326
2020-01-01,1.24919
2021-01-01,4.68219
2022-01-01,7.99169
2023-01-01,4.12827
2024-01-01,.
